,type,year,trim,price,mileage,make,model
5493,used,2014,LS ,11500.0,39677,Chevrolet,Cruze 
5494,used,2016,LT 3500 ,21600.0,43112,Chevrolet,Express 
5495,used,2016,1LT ,15000.0,25488,Chevrolet,Cruze Limited 
5496,used,2016,EcoBoost Premium ,17400.0,45242,Ford,Mustang 
5497,used,2015,Z06 ,64500.0,4167,Chevrolet,Corvette 
5498,used,2016,1LT ,13000.0,26199,Chevrolet,Cruze Limited 
5499,used,2015,LTZ ,39100.0,60893,Chevrolet,Suburban 
5500,used,2016,2LT ,12400.0,40167,Chevrolet,Cruze Limited 
5501,used,2018,LT ,30300.0,14569,Chevrolet,Colorado 
5502,used,2015,Limited ,11200.0,45357,Chrysler,200 
5503,used,2013,2.5 S ,9800.0,61175,Nissan,Altima 
5504,used,2013,LTZ ,40995.0,73544,Chevrolet,Silverado 3500HD 
5505,used,2017,2.0T Premium quattro ,32400.0,23609,Audi,Q5 
5506,used,2017,LT ,40900.0,29675,Chevrolet,Tahoe 
5507,used,2015,1.6 S ,9500.0,34705,Nissan,Versa Note 
5508,used,2015,SV ,12000.0,37889,Nissan,Sentra 
5509,used,2017,1SS ,27900.0,20233,Chevrolet,Camaro 
5510,used,2014,Base ,15900.0,27199,Chevrolet,Volt 
5511,used,2016,C ,18600.0,39640,Chrysler,300 
5512,used,2013,SE ,12900.0,49315,Ford,Escape 
5513,used,2014,LT ,15000.0,75505,Chevrolet,Equinox 
5514,used,2015,2LT ,11300.0,69499,Chevrolet,Cruze 
5515,used,2016,Unlimited Sport ,28000.0,41353,Jeep,Wrangler 
5516,used,2016,LT 3500 ,21600.0,43112,Chevrolet,Express 
5517,used,2016,EcoBoost Premium ,17400.0,45242,Ford,Mustang 
5518,used,2016,1LT ,13000.0,26199,Chevrolet,Cruze Limited 
5519,used,2016,2LT ,12400.0,40167,Chevrolet,Cruze Limited 
5520,used,2018,LT ,30300.0,14569,Chevrolet,Colorado 
5521,used,2013,2.5 S ,9800.0,61175,Nissan,Altima 
5522,used,2013,LTZ ,40995.0,73544,Chevrolet,Silverado 3500HD 
5523,used,2016,Sport ,13000.0,17189,Jeep,Patriot 
5524,used,2017,2.0T Premium quattro ,32400.0,23609,Audi,Q5 
5525,used,2016,SV ,12300.0,45027,Nissan,Sentra 
5526,used,2016,Sport ,13800.0,38820,Jeep,Patriot 
5527,used,2015,Hybrid ,19500.0,21085,Lincoln,MKZ 
5528,used,2017,1SS ,28750.0,21753,Chevrolet,Camaro 
5529,used,2017,LT ,16600.0,37824,Chevrolet,Trax 
5530,used,2015,LT ,14900.0,34500,Chevrolet,Malibu 
5531,used,2018,SXT Plus ,22700.0,26875,Dodge,Charger 
5532,used,2017,Touring-L ,22300.0,49713,Chrysler,Pacifica 
5533,used,2015,S ,11800.0,83787,Nissan,Rogue Select 
5534,used,2016,SXT ,15500.0,45333,Dodge,Grand Caravan 
5535,used,2017,Crossroad ,19600.0,36750,Dodge,Journey 
5536,used,2017,XLT ,28100.0,15564,Ford,F-150 
5537,used,2011,+ ,9200.0,79156,Kia,Soul 
5538,used,2015,LTZ ,38300.0,32834,Chevrolet,Silverado 1500 
5539,used,2010,XLT ,6490.0,132104,Ford,Explorer 
5540,used,2006,LT ,3490.0,90546,Chevrolet,Aveo 
5541,used,2002,Value ,4990.0,147754,Ford,Explorer Sport Trac 
5542,used,2003,EX ,3990.0,168635,Honda,Civic 
5543,used,2003,LX ,3990.0,153829,Honda,Civic 
5544,used,2003,3.5 SE ,3990.0,102389,Nissan,Altima 
5545,used,2008,EX ,5990.0,117056,Honda,Civic 
5546,used,2012,C Pop ,5990.0,64545,FIAT,500 
5547,used,2014,1.6 S Plus ,5990.0,79706,Nissan,Versa Note 
5548,used,2013,1.6 S Plus ,5990.0,93229,Nissan,Versa 
5549,used,2009,Base ,4990.0,121664,Pontiac,Vibe 
5550,used,2005,s ,3990.0,142427,Mazda,3 
5551,used,2006,s ,5490.0,103952,Mazda,3 
5552,used,2011,Base ,4990.0,106773,Kia,Soul 
5553,used,2008,Touring ,3490.0,99361,Chrysler,PT Cruiser 
5554,used,2006,XLT ,4490.0,147558,Ford,Explorer 
5555,used,2006,LT ,3490.0,90546,Chevrolet,Aveo 
5556,used,2013,LTZ ,6490.0,95346,Chevrolet,Sonic 
5557,used,2013,SE ,6490.0,137848,Dodge,Grand Caravan 
5558,used,2010,i Touring ,6490.0,101208,Mazda,3 
5559,used,2013,1LT ,5490.0,83518,Chevrolet,Spark 
5560,used,2010,XLT ,6490.0,132104,Ford,Explorer 
5561,new,2018,Touring L Plus ,43650.0,0,Chrysler,Pacifica 
5562,new,2018,Limited ,47980.0,0,Chrysler,Pacifica Hybrid 
5563,new,2018,Touring Plus ,42035.0,0,Chrysler,Pacifica Hybrid 
5564,new,2018,Touring ,30340.0,0,Chrysler,300 
5565,new,2018,Touring Plus ,35230.0,0,Chrysler,Pacifica 
5566,new,2018,L ,28785.0,0,Chrysler,Pacifica 
5567,new,2018,Touring L Plus ,44465.0,0,Chrysler,Pacifica 
5568,new,2018,Touring Plus ,35230.0,0,Chrysler,Pacifica 
5569,new,2018,Touring Plus ,36405.0,0,Chrysler,Pacifica 
5570,new,2018,Touring L Plus ,43650.0,0,Chrysler,Pacifica 
5571,new,2018,S ,41125.0,0,Chrysler,300 
5572,new,2018,Touring L Plus ,44950.0,0,Chrysler,Pacifica 
5573,new,2018,Limited ,49660.0,0,Chrysler,Pacifica Hybrid 
5574,new,2018,L ,28785.0,0,Chrysler,Pacifica 
5575,new,2018,Touring L Plus ,44465.0,0,Chrysler,Pacifica 
5576,new,2018,Limited ,46730.0,0,Chrysler,Pacifica 
5577,new,2018,C ,46035.0,0,Chrysler,300 
5578,new,2018,Touring L Plus ,43155.0,0,Chrysler,Pacifica 
5579,new,2018,Touring Plus ,35230.0,0,Chrysler,Pacifica 
5580,new,2018,S ,45130.0,0,Chrysler,300 
5581,new,2018,Touring L Plus ,44950.0,0,Chrysler,Pacifica 
5582,new,2018,Touring L Plus ,43650.0,0,Chrysler,Pacifica 
5583,new,2018,Touring L ,44020.0,0,Chrysler,Pacifica Hybrid 
5584,new,2018,Touring L ,40350.0,0,Chrysler,Pacifica 
5585,new,2018,Touring Plus ,41785.0,0,Chrysler,Pacifica Hybrid 
5586,new,2018,Touring Plus ,42280.0,0,Chrysler,Pacifica Hybrid 
5587,new,2018,L ,28935.0,0,Chrysler,Pacifica 
5588,new,2018,Touring L ,43490.0,0,Chrysler,Pacifica Hybrid 
5589,new,2018,Touring L ,37040.0,0,Chrysler,Pacifica 
5590,new,2018,Limited ,49610.0,0,Chrysler,Pacifica Hybrid 
5591,new,2018,Touring Plus ,33940.0,0,Chrysler,Pacifica 
5592,new,2018,Limited ,47110.0,0,Chrysler,Pacifica 
5593,new,2018,Limited ,48855.0,0,Chrysler,Pacifica Hybrid 
5594,new,2018,Touring Plus ,42280.0,0,Chrysler,Pacifica Hybrid 
5595,new,2018,Limited ,49575.0,0,Chrysler,Pacifica Hybrid 
5596,new,2018,Touring L ,43090.0,0,Chrysler,Pacifica Hybrid 
5597,new,2018,Touring L ,40690.0,0,Chrysler,Pacifica 
5598,new,2018,Touring L ,40350.0,0,Chrysler,Pacifica 
5599,new,2018,Touring L ,37040.0,0,Chrysler,Pacifica 
5600,new,2018,Touring L ,44020.0,0,Chrysler,Pacifica Hybrid 
5601,new,2018,Touring L ,37040.0,0,Chrysler,Pacifica 
5602,new,2018,Touring L ,43770.0,0,Chrysler,Pacifica Hybrid 
5603,new,2018,L ,28535.0,0,Chrysler,Pacifica 
5604,new,2018,Touring Plus ,42185.0,0,Chrysler,Pacifica Hybrid 
5605,new,2018,Touring L ,43090.0,0,Chrysler,Pacifica Hybrid 
5606,new,2018,Touring Plus ,41935.0,0,Chrysler,Pacifica Hybrid 
5607,new,2018,Touring L ,37040.0,0,Chrysler,Pacifica 
5608,new,2018,Touring L ,43240.0,0,Chrysler,Pacifica Hybrid 
5609,new,2018,Touring Plus ,36655.0,0,Chrysler,Pacifica 
5610,new,2018,Touring L ,44020.0,0,Chrysler,Pacifica Hybrid 
5611,new,2018,Touring Plus ,34435.0,0,Chrysler,Pacifica 
5612,new,2018,Touring Plus ,41785.0,0,Chrysler,Pacifica Hybrid 
5613,new,2018,Touring Plus ,35130.0,0,Chrysler,Pacifica 
5614,new,2018,Touring L ,37040.0,0,Chrysler,Pacifica 
5615,new,2018,Touring Plus ,42110.0,0,Chrysler,Pacifica Hybrid 
5616,new,2018,Limited ,47980.0,0,Chrysler,Pacifica Hybrid 
5617,new,2018,L ,28535.0,0,Chrysler,Pacifica 
5618,new,2018,Touring L ,40690.0,0,Chrysler,Pacifica 
5619,new,2018,Touring L ,37040.0,0,Chrysler,Pacifica 
5620,new,2018,Touring L ,44020.0,0,Chrysler,Pacifica Hybrid 
5621,new,2018,Touring L ,37040.0,0,Chrysler,Pacifica 
5622,new,2018,Touring L ,43770.0,0,Chrysler,Pacifica Hybrid 
5623,new,2018,Touring Plus ,42280.0,0,Chrysler,Pacifica Hybrid 
5624,new,2018,Touring L ,43240.0,0,Chrysler,Pacifica Hybrid 
5625,new,2018,Touring Plus ,36655.0,0,Chrysler,Pacifica 
5626,certified,2016,Touring ,17990.0,47171,Chrysler,Town and Country 
5627,certified,2016,Unlimited Rubicon ,38332.0,17435,Jeep,Wrangler 
5628,used,2017,SV ,19476.0,24323,Nissan,Rogue 
5629,used,2012,2.0T Premium quattro ,13594.0,83295,Audi,A4 
5630,used,2014,SE PZEV ,10677.0,43796,Volkswagen,Jetta 
5631,used,2012,Sport ,10880.0,92615,Jeep,Liberty 
5632,used,2015,Altitude ,25990.0,49150,Jeep,Grand Cherokee 
5633,certified,2017,Limited ,28880.0,36936,Jeep,Grand Cherokee 
5634,used,2015,Limited ,24491.0,36438,Jeep,Grand Cherokee 
5635,used,2014,SE ,13290.0,71683,Ford,Escape 
5636,used,2010,Unlimited Sport ,21496.0,35921,Jeep,Wrangler 
5637,certified,2017,SE ,21499.0,3055,Dodge,Charger 
5638,certified,2016,R/T ,15658.0,63079,Dodge,Grand Caravan 
5639,used,2014,LTZ ,16995.0,56755,Chevrolet,Impala 
5640,used,2016,LX-P ,17490.0,3292,Honda,Civic 
5641,certified,2015,Laramie ,42950.0,42953,Ram,2500 
5642,used,2015,TDI S ,11594.0,40700,Volkswagen,Jetta 
5643,used,2011,2.5i Limited ,13990.0,86154,Subaru,Outback 
5644,used,2014,XLE ,17890.0,41185,Toyota,Avalon 
5645,used,2014,PreRunner V6 ,24350.0,50416,Toyota,Tacoma 
5646,used,2015,xDrive28i ,28680.0,44813,BMW,X4 
5647,used,2015,Base ,16188.0,44100,Hyundai,Santa Fe Sport 
5648,used,2015,Base ,12317.0,58896,Scion,xB 
5649,used,2013,2.0T Premium quattro ,14535.0,66337,Audi,A4 
5650,used,2016,328i SULEV ,21990.0,40059,BMW,3 Series 
5651,used,2014,xDrive28i ,17493.0,43033,BMW,X1 
5652,certified,2016,Latitude ,15570.0,45633,Jeep,Renegade 
5653,used,2016,EX-T ,18267.0,28209,Honda,Civic 
5654,used,2015,Limited ,11230.0,68390,Chrysler,200 
5655,used,2012,Sahara ,24990.0,57931,Jeep,Wrangler 
5656,used,2016,3.5 SV ,19524.0,43074,Nissan,Maxima 
5657,used,2017,2.5 w/Prod. End 06/17 ,15899.0,30589,Nissan,Altima 
5658,used,2017,SLT ,25203.0,17796,Ram,1500 
5659,certified,2016,Sport ,24990.0,32340,Jeep,Wrangler 
5660,used,2014,XLT ,52990.0,18162,Ford,F-350 Super Duty 
5661,used,2017,SV ,13750.0,5349,Nissan,Sentra 
5662,certified,2014,Laredo ,18490.0,58932,Jeep,Grand Cherokee 
5663,certified,2016,Touring ,17990.0,47171,Chrysler,Town and Country 
5664,certified,2016,Unlimited Rubicon ,38332.0,17435,Jeep,Wrangler 
5665,used,2017,SV ,19476.0,24323,Nissan,Rogue 
5666,used,2012,2.0T Premium quattro ,13594.0,83295,Audi,A4 
5667,used,2014,SE PZEV ,10677.0,43796,Volkswagen,Jetta 
5668,certified,2015,Laredo ,22994.0,24827,Jeep,Grand Cherokee 
5669,used,2016,EX-L ,21990.0,17028,Honda,Accord 
5670,certified,2016,Sport ,13598.0,25083,Jeep,Patriot 
5671,certified,2015,C ,14499.0,38689,Chrysler,200 
5672,used,2015,Unlimited Rubicon Hard Rock ,35880.0,50280,Jeep,Wrangler 
5673,used,2014,1LT ,11480.0,40176,Chevrolet,Cruze 
5674,used,2013,Sport ,10475.0,65691,Mazda,5 
5675,certified,2013,Laredo ,18753.0,62322,Jeep,Grand Cherokee 
5676,used,2014,LE ,11986.0,46274,Toyota,Corolla 
5677,certified,2017,Limited ,18480.0,36723,Jeep,Cherokee 
5678,used,2013,SXT ,15990.0,61289,Dodge,Challenger 
5679,certified,2016,Unlimited Sahara ,30890.0,35560,Jeep,Wrangler 
5680,certified,2016,Unlimited Sport ,26996.0,24318,Jeep,Wrangler 
5681,used,2014,Overland ,25994.0,40993,Jeep,Grand Cherokee 
5682,used,2016,XLT ,34990.0,25119,Ford,F-150 
5683,certified,2018,Rubicon ,32894.0,3256,Jeep,Wrangler JK 
5684,used,2014,Limited ,20990.0,72202,Jeep,Grand Cherokee 
5685,certified,2018,Rubicon ,32894.0,3256,Jeep,Wrangler JK 
5686,used,2014,Limited ,20990.0,72202,Jeep,Grand Cherokee 
5687,used,2018,Express ,26576.0,5320,Ram,1500 
5688,used,2015,SXT ,11990.0,45888,Dodge,Dart 
5689,used,2011,LE ,9880.0,69112,Toyota,Corolla 
5690,used,2014,SL ,23990.0,60539,Nissan,Armada 
5691,used,2006,Laredo ,7990.0,89244,Jeep,Grand Cherokee 
5692,used,2014,LX ,13490.0,51353,Kia,Sportage 
5693,used,2013,PreRunner V6 ,23990.0,76095,Toyota,Tacoma 
5694,used,2018,R/T Scat Pack ,38990.0,6449,Dodge,Challenger 
5695,new,2018,R/T ,38825.0,0,Dodge,Challenger 
5696,new,2018,R/T ,47080.0,0,Dodge,Durango 
5697,new,2018,SXT ,28640.0,0,Dodge,Challenger 
5698,new,2018,SXT Plus ,35835.0,0,Dodge,Charger 
5699,new,2018,SXT ,28640.0,0,Dodge,Challenger 
5700,new,2018,R/T Scat Pack ,49110.0,0,Dodge,Charger 
5701,new,2018,SXT Plus ,33330.0,0,Dodge,Challenger 
5702,used,2017,LX ,12776.0,14051,Kia,Forte 
5703,new,2018,SXT ,28709.0,0,Dodge,Challenger 
5704,new,2018,SXT Plus ,33855.0,0,Dodge,Challenger 
5705,certified,2018,Latitude ,19886.0,2082,Jeep,Compass 
5706,new,2018,R/T Shaker ,42800.0,0,Dodge,Challenger 
5707,certified,2018,Limited ,32777.0,21137,Jeep,Grand Cherokee 
5708,new,2018,SXT ,28640.0,0,Dodge,Challenger 
