,type,year,title,trim,price,mileage
282,used,2006,Lexus RX 330 ,Base ,14495,50801
283,used,2010,Honda Civic ,LX ,7999,0
284,used,2012,Hyundai Elantra ,GLS ,6997,140535
285,used,2016,Nissan Versa ,1.6 S ,8785,23682
286,used,2010,Ferrari 458 Italia ,Base ,167995,18905
287,used,2004,Porsche 911 ,Turbo ,57995,25318
288,used,2014,Mercedes-Benz GLK-Class ,GLK350 ,27995,32781
289,used,1999,Porsche 911 ,Carrera ,21995,70839
290,used,1991,Porsche 911 ,Carrera ,67995,20252
291,used,2016,GMC Yukon ,Denali ,51694,33365
292,used,2011,Land Rover Range Rover ,HSE ,29995,63314
293,used,1998,Porsche 911 ,Carrera S ,99995,24934
294,used,2003,Porsche 911 ,Turbo ,55995,36426
295,used,2016,Audi S5 ,Prestige quattro ,46995,15849
296,used,2015,Mercedes-Benz S-Class ,S 63 AMG 4MATIC ,103995,29859
297,used,2013,BMW 6 Series ,650i ,39995,37800
298,used,1995,Dodge Viper ,RT/10 ,28995,40000
299,used,2011,BMW 5 Series ,528i ,16995,77084
300,used,2014,Mercedes-Benz E-Class ,E63 AMG 4MATIC S-Model ,73995,23769
301,used,2017,Hyundai Accent ,SE ,13879,168
302,used,2014,BMW i8 ,Base ,87995,8398
303,used,2009,Mercedes-Benz G-Class ,G55 AMG ,59995,80781
304,used,2015,Mercedes-Benz S-Class ,S 65 AMG ,117995,24424
305,used,2014,Mercedes-Benz S-Class ,S550 ,57995,16000
306,used,2011,Porsche 911 ,Turbo ,82995,31613
307,used,2001,Porsche 911 ,Turbo ,49995,32507
308,used,2005,Porsche 911 ,Turbo S ,56995,31730
309,used,2009,Bentley Azure ,Base ,109995,10855
310,used,2014,Porsche 911 ,Turbo ,139995,6462
311,used,2011,Porsche 911 ,Carrera S ,64995,16954
312,used,2018,Lexus LC 500 ,Base ,94995,2910
313,used,2012,Mercedes-Benz SLS AMG ,Base ,129995,12005
314,used,2013,Land Rover Range Rover Sport ,HSE ,32995,63597
315,used,2012,Mercedes-Benz SLS AMG ,Base ,129995,12005
316,used,2015,Chevrolet Sonic ,LTZ ,8990,49000
317,used,2015,Honda Civic ,LX ,12990,32519
318,used,2015,Toyota RAV4 ,XLE ,17990,29902
319,used,2015,Volkswagen Jetta ,S ,9990,25812
320,used,2015,Volkswagen Jetta ,"SE PZEV w/Connectivity, Navigation ",11990,20989
321,used,2015,Volkswagen Jetta ,Sport ,13990,20026
322,used,2015,Volkswagen Jetta ,Sport ,11990,32600
323,used,2015,Toyota Camry ,SE ,14990,24189
324,used,2015,Toyota Camry ,LE ,14990,28527
325,used,2015,Toyota Camry ,SE ,15990,21828
326,used,2015,Toyota Camry ,SE ,15990,26523
327,used,2015,Toyota Camry ,LE ,14990,18707
328,used,2015,Toyota Camry ,LE ,14990,36233
329,used,2016,Toyota Corolla ,S Plus ,12990,19407
330,used,2016,Toyota Prius ,Two ,17990,33803
331,used,2016,Toyota Prius ,Two ,18990,21857
332,used,2014,Toyota Prius c ,One ,12990,16409
333,used,2015,Toyota Prius ,Two ,13500,51569
334,used,2015,Toyota Prius v ,Two ,17990,33653
335,used,2013,Scion xB ,Base ,8990,70221
336,used,2015,Toyota RAV4 ,LE ,14990,56340
337,used,2017,Toyota Corolla iM ,Base ,15990,15249
338,used,2017,Jeep Renegade ,Sport ,14990,13772
339,used,2016,Toyota Camry ,SE ,15990,28123
340,used,2015,Toyota Camry ,SE ,15990,27696
341,used,2015,Toyota Prius ,Three ,14990,40210
342,used,2015,Toyota Prius ,Two ,15990,27001
343,used,2016,Toyota Prius ,Two ,20990,12123
344,used,2012,Toyota Highlander ,Base ,14950,74837
345,used,2016,Toyota Corolla ,S Plus ,14990,7515
346,used,2015,Toyota Avalon ,XLE Touring ,23990,1473
347,used,2007,Toyota Tundra ,SR5 ,13990,155959
348,used,2016,Rolls-Royce Dawn ,Base ,299999,4722
349,used,2015,Lamborghini Huracan ,LP 610-4 ,214999,7740
350,used,2017,Lamborghini Huracan ,LP 610-4 Spyder ,264999,6476
351,used,2007,Rolls-Royce Phantom ,Base ,139999,14796
352,used,2014,Rolls-Royce Ghost ,Base ,179999,13109
353,used,2015,Rolls-Royce Ghost Series II ,Base ,209999,6873
354,used,2017,Rolls-Royce Wraith ,Base ,299999,5401
355,used,2014,Rolls-Royce Phantom ,Base ,269999,4464
356,used,2011,Rolls-Royce Phantom Drophead Coupe ,Base ,229999,16620
357,used,2016,Rolls-Royce Dawn ,Base ,299999,4722
358,used,2015,Rolls-Royce Wraith ,Base ,224999,3789
359,used,2011,Rolls-Royce Phantom Drophead Coupe ,Base ,249999,6547
360,used,2017,Rolls-Royce Wraith ,Base ,349999,5420
361,used,2009,Dodge Challenger ,SRT8 ,29999,5575
362,used,2016,Bentley Flying Spur ,W12 ,149999,14005
363,used,2013,Mercedes-Benz G-Class ,G550 ,83999,28842
364,used,2012,Mercedes-Benz SLS AMG ,Base ,179999,9947
365,used,2015,Mercedes-Benz SLS AMG GT Final Edition ,Base ,269999,3212
366,used,2016,Porsche 911 ,Targa 4S ,123999,9705
367,used,2011,Porsche 911 ,Turbo S ,99999,18000
368,used,2010,Ferrari 599 ,GTB Fiorano ,139999,46596
369,used,2015,Ferrari 458 Italia ,Speciale ,389999,1651
370,used,2007,Ferrari F430 ,Spider ,129999,9865
371,used,2016,Bentley Continental GT ,Base ,159999,8949
372,used,2011,Mercedes-Benz SLS AMG ,Base ,174999,2923
373,used,2016,Porsche 911 ,GT3 RS ,229999,639
374,used,2012,Ferrari 458 Italia ,Base ,189999,15835
375,used,2016,Mercedes-Benz G-Class ,AMG G 63 ,124999,21890
376,used,2013,Ferrari 458 Italia ,Spider ,184999,39210
377,used,2017,Bentley Continental ,GT V8 S ,189999,7737
378,used,2013,Ferrari California ,Base ,124999,18647
379,used,2016,Land Rover Range Rover Sport ,Autobiography ,89999,4832
380,used,2013,Mercedes-Benz C-Class ,C250 ,19500,16098
381,used,2014,Volkswagen Jetta ,S ,8400,74651
382,used,2005,Lexus ES 330 ,Base ,5900,109392
383,used,2003,INFINITI G35 ,Base ,4900,111348
384,used,2007,Volkswagen Jetta ,Wolfsburg Edition PZEV ,4200,101969
385,used,2017,Volkswagen Golf GTI ,S ,19500,28096
386,used,2003,INFINITI G35 ,Base ,4900,111348
387,used,2007,Mercedes-Benz E-Class ,E350 ,6700,111265
388,used,2014,Volkswagen Jetta SportWagen ,S PZEV ,9900,0
389,used,2014,Ford Focus ,SE ,10995,11000
390,used,2015,Ford Transit Wagon ,350 XLT Medium Roof ,29995,43000
391,used,2015,Ford Transit Wagon ,350 XLT Low Roof ,21495,48000
392,used,2013,Ford F-150 ,XLT ,15495,143000
393,used,2008,Ford F-150 ,Lariat ,14295,112000
394,used,2017,Ford Transit Van ,"250 Low Roof w/130"" WB, Sliding Passenger Side Door ",22995,10000
395,used,1997,Pontiac Trans Sport ,SE ,2995,110000
396,used,2017,GMC Savana Cargo ,2500 ,22995,5000
397,used,2013,Volkswagen Passat ,S PZEV ,9495,65000
398,used,2010,Dodge Charger ,Base ,10995,21000
399,used,2015,Subaru Outback ,2.5i Premium PZEV ,12995,130000
400,used,2003,Toyota Camry ,LE ,5995,102000
401,used,2012,Subaru Forester ,2.5X Limited PZEV ,17895,36000
402,used,2016,Subaru Forester ,2.5i Premium PZEV ,17495,69000
403,used,2008,INFINITI G37 ,Journey ,10995,101000
404,used,2007,Toyota Prius ,Base ,6995,109000
405,used,2004,BMW 3 Series ,330Ci ,7495,90000
406,used,2011,BMW 3 Series ,335i ,14495,88000
407,used,1994,Mercedes-Benz SL-Class ,SL500 ,4495,157000
408,used,2000,Mercedes-Benz CLK-Class ,CLK320 ,4995,103000
409,used,2013,Mercedes-Benz C-Class ,C250 Luxury ,13895,81000
410,used,2015,Mercedes-Benz C-Class ,C 250 ,19495,41000
411,used,2007,MINI Cooper ,S ,8995,19000
412,used,2015,Scion tC ,Base ,15995,36000
413,used,2012,BMW 3 Series ,328i ,17495,55000
414,used,2011,BMW 3 Series ,328i ,12995,95000
415,used,2013,INFINITI G Coupe ,G37 Journey ,17495,77000
416,used,2015,Ford Transit Wagon ,350 XLT High Roof ,26955,32000
417,used,2007,Toyota FJ Cruiser ,Base ,13995,148000
418,used,2015,Kia Soul EV ,+ ,13995,11000
419,used,2012,Hyundai Veloster ,Base ,9495,80000
420,used,2012,Honda CR-Z ,Base ,8245,90000
421,used,2012,Honda CR-Z ,Base ,8245,90000
422,used,2014,BMW 3 Series ,320i ,15495,45000
423,used,2006,Cadillac DTS ,Luxury I ,7495,62000
424,used,2010,Chevrolet Impala ,LS ,6995,67000
425,used,2015,Jaguar F-TYPE ,R ,57995,23000
426,used,2014,Dodge Charger ,SE ,14968,43625
427,used,2017,Mazda CX-3 ,Grand Touring ,22499,19978
428,used,2011,Mercedes-Benz E-Class ,E350 ,15469,87557
429,used,2016,Dodge Dart ,SXT ,11392,67090
430,used,2018,Ford Escape ,S ,25440,2062
431,used,2015,Ford Fusion Energi ,Titanium ,12897,83038
432,used,2017,Lexus NX 200t ,Base ,34551,16114
433,used,2018,Ford Focus RS ,Base ,40999,455
434,used,2016,Dodge Challenger ,R/T Plus ,29238,15465
435,used,2016,Ford Transit Wagon ,350 XLT Low Roof w/60/40 Passenger Side Door ,24889,37188
436,used,2017,Ford Fusion Hybrid ,SE ,15499,40207
437,used,2015,Ford Explorer ,XLT ,25994,33131
438,used,2016,Hyundai Tucson ,SE ,16766,37417
439,used,2017,Ford Expedition ,EL Limited ,30999,47098
440,used,2015,Ford Explorer ,XLT ,26707,29535
441,used,2017,Chevrolet Volt ,Premier ,29995,9644
442,used,2016,Ford Transit Wagon ,150 XL Low Roof w/60/40 Passenger Side Door ,36995,23141
443,used,2011,Ford F-350 Super Duty ,Lariat ,38257,94745
444,used,2017,Hyundai Santa Fe Sport ,Base ,18998,21831
445,used,2016,Ford Explorer ,Sport ,38979,21097
446,used,2017,Ford F-150 ,XLT ,30719,28556
447,used,2016,Toyota Tacoma ,TRD Sport ,30997,18945
448,used,2016,Ford Escape ,S ,14998,23051
449,used,2018,Ford F-150 ,XLT ,33999,14596
450,used,2015,Chevrolet Tahoe ,LTZ ,44999,26089
451,used,2018,Ford Fusion Hybrid ,SE ,29010,2805
452,used,2017,Honda CR-V ,EX-L ,28488,4111
453,used,2015,Ford Explorer ,XLT ,26708,28121
454,used,2015,Ford Edge ,SEL ,24984,16517
455,used,2018,Ford Fusion Hybrid ,SE ,29405,2469
456,used,2013,Lexus RX 350 ,Base ,23445,62008
457,used,2018,Ford Fusion Hybrid ,SE ,29405,2469
458,used,2013,Lexus RX 350 ,Base ,23445,62008
459,used,2013,Cadillac SRX ,Premium ,17928,82118
460,used,2014,Ford F-250 Super Duty ,King Ranch ,45988,88785
461,used,2017,Toyota Tacoma ,TRD Off Road ,35921,4958
462,used,2018,Nissan Sentra ,SR ,18244,7348
463,used,2016,Acura MDX ,Base ,29712,44374
464,used,2017,Nissan Frontier ,SV ,20937,16418
465,used,2013,Dodge Durango ,Crew ,16498,78749
466,used,2016,Jeep Wrangler ,Unlimited Rubicon ,39214,24430
467,used,2017,Ford F-150 ,XLT ,30998,28750
468,used,2018,Ford F-150 ,Raptor ,69981,3510
469,new,2018,Ford F-250 Super Duty ,Lariat ,70620,5
470,new,2018,Ford F-150 ,Lariat ,57320,5
